Phase_1,Phase_2,Phase_3,B-cell,Rituximab,Cyclophosphamide,Mycophenolate,Mofetil,Gemcitabine,Bortezomib,R-CHOP,R-DHAP,JCAR017,inhibitor,MK2206,acid,text_lsa_title_0,text_lsa_loc_0,text_lsa_title_1,text_lsa_loc_1,text_lsa_title_2,text_lsa_loc_2,text_lsa_title_3,text_lsa_loc_3,text_lsa_title_4,text_lsa_loc_4,text_lsa_title_5,text_lsa_loc_5,text_lsa_title_6,text_lsa_loc_6,text_lsa_title_7,text_lsa_loc_7,text_lsa_title_8,text_lsa_loc_8,text_lsa_title_9,text_lsa_loc_9,KMeans_24_clust
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2453856859604907,0.11610710495652496,0.027488814412347934,7.701749350943272e-06,-0.06970919420381062,0.18065363609594537,0.16390755974474147,0.19747048000689021,-0.0091064239565883,0.0023680256727334043,-0.03554211700892223,7.558621352823869e-05,0.09556643074654654,0.058639512686155096,-0.0172513314752688,0.23007926981736515,0.14406720459097247,0.3541847339776802,0.08731173093594063,0.06421251536580665,22
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.12459750960832168,0.07300354741144607,-0.0932405978632044,2.3982054128478943e-05,-0.0061445477912123935,0.24231615323752992,0.002415112785267708,-0.11967605775605995,-0.010827392684747028,-0.24526391633887215,-0.018712127994552654,0.6336878945211263,-0.006488608115264923,-0.3262736824102835,0.03358856146191857,0.01894907300254335,-0.01206812306009338,-0.030207352221159757,-0.04872968588213313,-0.012097255049147371,21
0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.25083674509056025,0.4242796522911436,-0.046203021566093,-4.177584332774289e-05,0.16152838448749696,-0.031083835939561894,0.014174123944721244,0.03645290474626041,0.10752655989313396,-0.026703671203052268,-0.029153034930381367,-0.021338057484065368,0.029223360852673495,0.04459852335526064,-0.03639849943717488,0.15829001571632145,-0.0380399326886772,-0.08290599391935392,0.12806343266402934,-0.034570067019084286,23
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1688483210825438,8.72966968392566e-05,-0.05607979066368778,0.9999999910834958,0.05812395261960438,-6.528964233585672e-05,0.06855430944078285,-3.172990270376761e-05,-0.05579984411909502,1.698437967309796e-05,-0.02687922902278311,-2.899837649715256e-05,-0.043848318435477714,9.727379305237174e-06,-0.011847409061008899,-4.5609597487574805e-06,-0.0422655238820959,-7.256825670726502e-06,-0.06226903066263278,-1.1827367372258427e-05,15
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.1882854256896944,0.1695414824974604,-0.12850808045967477,2.530526891384065e-05,-0.08556445186970225,0.42757256896872636,-0.10944730354410116,0.5430048210715459,0.08481698178702307,-0.0480109596279747,0.10754589521926959,-0.08430479503765209,-0.058423263789836324,0.0035210825798271264,-0.011685884702633582,-0.2153681279723644,-0.07583066127544764,-0.08059603014834212,-0.02201145364446058,-0.05827334667534042,19
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.28839099443760613,8.72966968392566e-05,-0.12913284062480654,0.9999999910834958,-0.20907875570761478,-6.528964233585672e-05,0.2498612773660276,-3.172990270376761e-05,0.16542290038729396,1.698437967309796e-05,0.21425420354553662,-2.899837649715256e-05,0.040020279156571914,9.727379305237174e-06,-0.11236080806292799,-4.5609597487574805e-06,0.012360992575656,-7.256825670726502e-06,-0.02945009351771832,-1.1827367372258427e-05,3
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.31552563833355124,8.72966968392566e-05,-0.14662945118440088,0.9999999910834958,-0.25226138445786084,-6.528964233585672e-05,0.3184000497797352,-3.172990270376761e-05,0.26581839225015785,1.698437967309796e-05,0.31478411018682817,-2.899837649715256e-05,0.05979085384857018,9.727379305237174e-06,-0.15536134985361982,-4.5609597487574805e-06,-0.0009104420322285155,-7.256825670726502e-06,-0.06716431896275728,-1.1827367372258427e-05,3
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2730473654590945,0.024182119798205306,-0.14963912621183237,3.976481491386701e-06,0.049323906560862225,0.0669473743465894,0.1038989753855552,0.04097638398288055,-0.03513632926856835,-0.010060155877326461,-0.04486137897113393,-0.0013106076407748413,-0.09573963455087632,0.009518591627225332,0.05318323245273442,0.002126596662590273,-0.059174775317035966,0.02259401578007428,-0.036640081195582035,0.06136913232162236,19
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1066940153028011,0.03739644837295882,-0.02560901395602899,6.212843369705353e-06,0.026010972770033704,0.08394298810236357,0.032602180770484504,-0.04331538015697276,0.15519928152967533,-0.09675469686161112,-0.09335574664671523,0.23625591789686212,0.017597285947992227,-0.13088272755407385,0.03089227742201969,0.012398479877441106,0.01775863921162619,-0.011574000461170268,0.16115294017229256,-0.04753338486698082,4
0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0.22234724225508845,0.14095289442675946,-0.22938638595290547,1.6245863928485718e-05,0.1582944165718903,0.29778363077831416,0.0028792633655852,0.3921167231012714,0.03975642259336137,-0.027935079314531274,-0.11143356886342101,-0.06492295817673831,0.06488312277083147,-0.002778924264366,0.08692941449297259,-0.15454792907350728,-0.05178979399925933,-0.06313738899415529,-0.10223328161084845,-0.009146069076007896,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12887549314524482,0.057498580332772484,0.016720684484912537,3.628379962651856e-06,0.017439348802919776,0.09348879843088534,0.03388219208001671,0.08531456623932503,0.20768058434607933,-0.0021411151816863997,-0.055882617905776796,0.0028422059304299406,-0.10733021089636066,0.008952635572366441,-0.0023790753523055034,0.01613815973587149,-0.07811634634971697,-0.002340192891047957,0.16224925134992865,0.09162598164100126,4
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.3468989316594469,0.13808807119300898,0.016722487925401274,5.198094454144867e-06,0.20279959910377637,0.44595400856868517,-0.02382323815357504,-0.12465630478426128,0.2626928447372598,0.1269044805513073,-0.13616184140151807,-0.13267789183617995,0.034571682866334434,0.010456345972510694,-0.058652259357785376,0.019798279443383835,0.11779041529686128,-0.0206961636384278,0.18716581554642728,0.04538602906486689,20
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3072594121733582,0.06301964111446434,-0.0789103587954476,1.6830426670425675e-05,0.042985266956536816,0.24797030434747963,0.11977827058118469,-0.025275578589300907,-0.07553291641200624,-0.021661450791926405,-0.019845281731135127,0.04099019709107273,-0.07106131026973819,0.01570330381509017,-0.005965636142261789,-0.027901453422202568,-0.004651235730625563,0.010800278640821535,-0.04053372090736002,0.40277083534216507,16
